What is your view on politics in us & world,Ballot used for interview,Year of birth,Household type,Number in family of r,Rs income in constant $,Family income in constant $,Rs job is useful to society,R has opportunity to advance,Rs income is high,Rs job is secure,Standard of living of r will improve,Relationship status and cohabitation or not,The highest degree r have earned,Total family income,Respondents income,How much time felt sad in past wk,How much time felt happy in past wk,How much time felt depressed in past wk,Hours of internet use on weekends,Minutes of internet use on weekends,Hours of internet use on weekdays,Minutes of internet use on weekdays,Use twitter,Use internet/apps more than occassionally,I am meeting my current goals,I see myself as successful,I expect more good things to happen to me than bad,I'm always optimistic about my future,Hours per day watching tv,How often does r read newspaper,Rs living standard compared to parents,Happiness of marriage,General happiness,Strength of affiliation,Political party affiliation,Region of interview,Respondents income,Total family income,Was r born in this country,Rs family income when 16 yrs old,Living with parents when 16 yrs old,Marital status,Number of hours usually work a week,Respondent id number,Happiness of relt with partner,Condition of health,Satisfaction with financial situation,Rs self ranking of social position,Job or housework,Is r likely to lose job,Spend evening with friends,Spend evening with relatives,Confidence in congress,Confid. in united states supreme court,Confid. in exec branch of fed govt,Confidence in education,Confidence in major companies,Can people be trusted,Is life exciting or dull,Gss year for this respondent                       
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1968,"2adlts,mar,1+kids",1st person,0,17550,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Bachelor's,$35000 to 39999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Less than once wk,Not applicable,Very happy,Very happy,Not very strong,Not str democrat,W. sou. central,Not applicable,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,2300,Not applicable,Poor,More or less,4,Not applicable,Not applicable,Once a month,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1962,"3adlts,0mar,ntrel,rel,0kids",1st person,17550,31590,Agree,Neither,Disagree,Agree,Strongly disagree,Not applicable,Not applicable,$60000 to 74999,$35000 to 39999,None or almost none of the time,Most of the time,None or almost none of the time,6,0,8,0,No,Yes,Mostly true,Somewhat true,Agree,Neutral,Not applicable,Not applicable,About the same,Not applicable,Pretty happy,No religion,Independent,W. sou. central,$25000 or more,$25000 or more,Yes,Average,Mother & father,Divorced,Not applicable,2301,Pretty happy,Fair,Not at all sat,5,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Hardly any,Hardly any,Only some,Cannot trust,Exciting,2016
Not applicable,Ballot c,1951,"2adlts,ntmar,rel,0kids",1st person,0,0,No issp,No issp,No issp,No issp,Strongly agree,I don’t have a steady partner.,Not applicable,Don't know,Not applicable,All or almost all of the time,Some of the time,All or almost all of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Slightly true,Agree,Agree,Not applicable,Not applicable,About the same,Not applicable,Not too happy,Not very strong,Independent,W. sou. central,Not applicable,Don't know,Yes,Below average,Mother & father,Widowed,Not applicable,2302,Not applicable,Fair,More or less,5,Don't know,Not applicable,Not applicable,Not applicable,A great deal,A great deal,Only some,A great deal,Only some,Cannot trust,Routine,2016
Not applicable,Ballot b,1979,"2adlts,mar,0kids",2nd person,15210,31590,Disagree,Neither,Disagree,Disagree,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$60000 to 74999,$30000 to 34999,Not applicable,Not applicable,Not applicable,2,0,10,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,5,Everyday,Somewhat better,Very happy,Pretty happy,No religion,Not str democrat,W. sou. central,$25000 or more,$25000 or more,Yes,Below average,Mother,Married,Not applicable,2303,Not applicable,Not applicable,Not at all sat,7,Mod. satisfied,Fairly likely,Sev times a year,Sev times a week,Hardly any,Hardly any,Only some,Only some,Hardly any,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1957,"2adlts,mar,0kids",2nd person,0,17550,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$35000 to 39999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Not applicable,Very happy,Very happy,Not very strong,Not str democrat,W. sou. central,Not applicable,$25000 or more,No,Far below average,Mother & father,Married,Not applicable,2304,Not applicable,Fair,More or less,5,Mod. satisfied,Not applicable,Never,Once a month,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1962,"2adlts,mar,0kids",1st person,25740,46800,Strongly agree,Disagree,Disagree,Strongly agree,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$90000 to $109999,$50000 to 59999,None or almost none of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Somewhat false,Somewhat true,Agree,Disagree,Not applicable,Not applicable,About the same,Very happy,Very happy,Not very strong,"Ind,near dem",W. sou. central,$25000 or more,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,2305,Not applicable,Good,More or less,5,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,Only some,Only some,Only some,Cannot trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1981,"1adlt,1+kids",1st person,0,21060,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Don't know,Don't know,Don't know,No,Yes,Definitely true,Somewhat true,Strongly agree,Strongly agree,2,Never,Much worse,Not applicable,Pretty happy,Strong,Independent,W. sou. central,Not applicable,$25000 or more,Yes,Average,Mother,Never married,Not applicable,2306,Not applicable,Not applicable,Not at all sat,4,Mod. satisfied,Not likely,Sev times a mnth,Sev times a week,Only some,Hardly any,Only some,A great deal,Only some,Cannot trust,Not applicable,2016
Don't know,Ballot a,1987,"2adlts,mar,0kids",2nd person,0,21060,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Everyday,Not applicable,Very happy,Very happy,Not very strong,Not str democrat,W. sou. central,Not applicable,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,2307,Not applicable,Good,More or less,4,Mod. satisfied,Fairly likely,Sev times a mnth,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1981,"1adlt,0kids",1st person,8775,9945,No issp,No issp,No issp,No issp,Not applicable,I don’t have a steady partner.,Not applicable,$20000 to 22499,$17500 to 19999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Never,Not applicable,Not applicable,Pretty happy,Strong,"Ind,near dem",W. sou. central,$15000 - 19999,$20000 - 24999,Yes,Average,Mother,Never married,Not applicable,2308,Not applicable,Good,More or less,6,No answer,Not likely,Sev times a week,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1948,"2adlts,mar,0kids",2nd person,5265,46800,Agree,Disagree,Disagree,Agree,Disagree,I am married and living in the same household as my husband or wife.,Not applicable,$90000 to $109999,$10000 to 12499,Some of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Somewhat true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Pretty happy,Not too happy,Strong,Strong democrat,W. sou. central,$10000 - 14999,$25000 or more,Yes,Far below average,Mother,Married,Not applicable,2309,Not applicable,Good,Not at all sat,4,Mod. satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Only some,Only some,Only some,Hardly any,Cannot trust,Routine,2016
Not applicable,Ballot c,1961,"3adlts,2mar,sp,rel,0kids",2nd person,12870,15210,Agree,Agree,Neither,Agree,Neither,Not applicable,Not applicable,$30000 to 34999,$25000 to 29999,None or almost none of the time,All or almost all of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Mostly true,Agree,Agree,Not applicable,Not applicable,Much better,Very happy,Very happy,No religion,Independent,W. sou. central,$25000 or more,$25000 or more,No,Far below average,Mother,Married,Not applicable,2310,Not applicable,Fair,More or less,Top,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,A great deal,Only some,Cannot trust,Routine,2016
Not applicable,Ballot b,1959,"2adlts,dkmar,1+kids",1st person,11115,21060,No issp,No issp,No issp,No issp,Disagree,"I have a steady partner, and we live in the same household.",Not applicable,$40000 to 49999,$22500 to 24999,Not applicable,Not applicable,Not applicable,1,0,8,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,8,Everyday,Somewhat better,Not applicable,Not too happy,Somewhat strong,Strong democrat,W. sou. central,$20000 - 24999,$25000 or more,Yes,Below average,Father,Never married,Not applicable,2311,Pretty happy,Not applicable,Not at all sat,3,Mod. satisfied,Not applicable,Sev times a week,Once a year,Only some,Hardly any,Only some,Only some,Only some,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1938,"1adlt,0kids",1st person,0,936,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Bachelor's,$1 000 to 2 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Less than once wk,Not applicable,Not applicable,Not too happy,No answer,"Ind,near rep",W. sou. central,Not applicable,$1000 to 2999,Yes,Below average,Other,Never married,Not applicable,2312,Not applicable,Fair,More or less,5,Not applicable,Not applicable,Sev times a week,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1945,"2adlts,mar,0kids",2nd person,0,38610,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Bachelor's,$75000 to $89999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Once a week,Not applicable,Pretty happy,Pretty happy,Not very strong,Not str republican,W. sou. central,Not applicable,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,2313,Not applicable,Good,Satisfied,2,Not applicable,Not applicable,Sev times a year,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1952,"2adlts,mar,0kids",2nd person,0,65520,No issp,No issp,No issp,No issp,Disagree,Not applicable,Not applicable,$130000 to $149999,Not applicable,None or almost none of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Somewhat true,Definitely true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Very happy,Very happy,Strong,Strong democrat,W. sou. central,Not applicable,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,2314,Not applicable,Good,Satisfied,3,Not applicable,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,A great deal,A great deal,Only some,Can trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1972,"2adlts,mar,0kids",2nd person,164382.0376,131676.6906,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$170000 or over,$170000 or over,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Once a week,Not applicable,Very happy,Pretty happy,Not very strong,"Ind,near rep",W. sou. central,Refused,Refused,No,Below average,Mother,Married,Not applicable,2315,Not applicable,Good,More or less,4,Mod. satisfied,Not applicable,Sev times a week,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1959,"1adlt,0kids",1st person,0,5265,No issp,No issp,No issp,No issp,Strongly disagree,Not applicable,Not applicable,$10000 to 12499,Refused,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Definitely false,Definitely false,Strongly disagree,Strongly disagree,4,Never,Much worse,Not applicable,Not too happy,Somewhat strong,Independent,W. sou. central,Refused,$10000 - 14999,Yes,Above average,Mother,Divorced,Not applicable,2316,Not applicable,Not applicable,Not at all sat,Bottom,A little dissat,Not applicable,Never,Once a month,Hardly any,Hardly any,Hardly any,Hardly any,Hardly any,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1991,"2adlts,mar,0kids",2nd person,9945,25740,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$50000 to 59999,$20000 to 22499,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Never,Not applicable,Very happy,Very happy,Not very strong,Not str republican,W. sou. central,$20000 - 24999,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,2317,Not applicable,Good,Satisfied,4,Very satisfied,Not likely,Sev times a mnth,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1986,"2as,ntmar,ntrel,opsex,1+ks",2nd person,21060,25740,Agree,Neither,Neither,Agree,Strongly agree,"I have a steady partner, and we live in the same household.",Not applicable,$50000 to 59999,$40000 to 49999,None or almost none of the time,All or almost all of the time,None or almost none of the time,0,30,0,30,No,Yes,Mostly true,Mostly true,Agree,Agree,Not applicable,Not applicable,About the same,Not applicable,Very happy,Strong,Independent,Mountain,$25000 or more,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,2318,Very happy,Good,More or less,5,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,Hardly any,Only some,Can trust,Exciting,2016
